"runs","m.inf","m.slope","f.inf","f.slope","m_slope","m_sens","f_sens","FG","fxn","bid","lid"
73,"300000","300.0","150000"," -7.500","Flat","Medium low","Medium","Gag groups","Mortality and foraging","1A4prd5ye81rd6fnuQafoMZltWjY4bT66","1D9gSyPMWgc6VkU7MsN5v0WPjC7KHCg-M"
74,"300000"," 15.0","150000"," -7.500","Medium flat","Medium low","Medium","Gag groups","Mortality and foraging","148__rfZZKME0WIxmiNKBJxoJpRCC9hQc","1iGO41I3PY1VJrC5hObFOrksHY5PArEKC"
75,"300000","  6.0","150000"," -7.500","Medium steep","Medium low","Medium","Gag groups","Mortality and foraging","1CcblBNJd80n4zn3eDh8kvFqIiik5InRB","1ORVQEPtdQYVAl25PL25FkAOqhX1fdMah"
76,"300000","  3.0","150000"," -7.500","Steep","Medium low","Medium","Gag groups","Mortality and foraging","12pUaSrRN1zGIZ1U6z0S8N4gBiB_CDesG","1K9URjMp5IO5kQKuk2s91jib969lBwwZF"
77,"300000","300.0","225000","-11.250","Flat","Medium low","Low","Gag groups","Mortality and foraging","134JuqJRVeEEoCFf4cSMCA1_Jkhe1Cr18","11hqvBS8dCP235h6J7J7LS4OV7p2k2n5l"
78,"300000"," 15.0","225000","-11.250","Medium flat","Medium low","Low","Gag groups","Mortality and foraging","1uef8WitSjUod3d8qRP0v7QKQPM44IXCj","1iRsVMmnbOU1kP1eBjFbEeYCtFRFx_w1u"
79,"300000","  6.0","225000","-11.250","Medium steep","Medium low","Low","Gag groups","Mortality and foraging","1w1c7GrgTRKVUmPuuETZkxGmjruzT5yby","1lM31UrEucu8kO3XBSFunblRwdyXbuHdg"
80,"300000","  3.0","225000","-11.250","Steep","Medium low","Low","Gag groups","Mortality and foraging","1jjBopRqe3KBSWi8nnE_PiS3nNk05vepk","1xGdpRZ2DdQcSNbIru5ClFHbe7mj4Jdna"
81," 50000"," 50.0",NA,NA,"Flat","High",NA,"All consumer groups","Mortality","1CY9ZzzERA_rmtVhtMGhOLsVGp0tUFeFg","1XZ7J5rFhNI5AkfIfEXMDV13Bq5DTnkkh"
82," 50000","  2.5",NA,NA,"Medium flat","High",NA,"All consumer groups","Mortality","1dDnLrSF-bUZhw54eJ16Cxn5u7NgPCUbd","1uokEbt9TrGU9wx2MrBjJ_VK03acqLsQc"
83," 50000","  1.0",NA,NA,"Medium steep","High",NA,"All consumer groups","Mortality","1rpUujp-YS5EQfpMO3IMw1qQbV3V8YTyb","1xFD-dxlo989dbqzZHaWDrLknJhBxf05s"
84," 50000","  0.5",NA,NA,"Steep","High",NA,"All consumer groups","Mortality","12XYOPNjbY9x9ZTZ3bSkZrjYp6M0zek9i","1ZG0UDl8fEg8xJA5sCgpHTASXETlS3Nh4"
85,"100000","100.0",NA,NA,"Flat","Medium high",NA,"All consumer groups","Mortality","1Lgcso0Jv1Q8QSJaA7FRgYLgZ6yy-4lpV","1hIw7ddCzc_vZQgI0O7dSVP_rCgmm1cmc"
86,"100000","  5.0",NA,NA,"Medium flat","Medium high",NA,"All consumer groups","Mortality","1LWi1leazcpfdKMEbPUu9as0rPDTVpYpa","1_NauNGenxHKWdqmTMFhU2_mGIxYDS0oD"
87,"100000","  2.0",NA,NA,"Medium steep","Medium high",NA,"All consumer groups","Mortality","1FewZR5cPaCiEY6gSKf5fZUdKeZzSlcln","153o-51NXCbEIEagPFDqiadJTOFAjiN1B"
88,"100000","  1.0",NA,NA,"Steep","Medium high",NA,"All consumer groups","Mortality","1Mnkz1JDiWQrHQQDteeWZPIw7brj0rmKB","1nwS50voKj7CwZcfFfta1mzugTtZORgBf"
89,"200000","200.0",NA,NA,"Flat","Medium",NA,"All consumer groups","Mortality",NA,NA
90,"200000"," 10.0",NA,NA,"Medium flat","Medium",NA,"All consumer groups","Mortality",NA,NA
91,"200000","  4.0",NA,NA,"Medium steep","Medium",NA,"All consumer groups","Mortality",NA,NA
92,"200000","  2.0",NA,NA,"Steep","Medium",NA,"All consumer groups","Mortality",NA,NA
93,"300000","300.0",NA,NA,"Flat","Medium low",NA,"All consumer groups","Mortality",NA,NA
94,"300000"," 15.0",NA,NA,"Medium flat","Medium low",NA,"All consumer groups","Mortality",NA,NA
95,"300000","  6.0",NA,NA,"Medium steep","Medium low",NA,"All consumer groups","Mortality",NA,NA
96,"300000","  3.0",NA,NA,"Steep","Medium low",NA,"All consumer groups","Mortality",NA,NA
97,"400000","400.0",NA,NA,"Flat","Low",NA,"All consumer groups","Mortality",NA,NA
98,"400000"," 20.0",NA,NA,"Medium flat","Low",NA,"All consumer groups","Mortality",NA,NA
99,"400000","  8.0",NA,NA,"Medium steep","Low",NA,"All consumer groups","Mortality",NA,NA
100,"400000","  4.0",NA,NA,"Steep","Low",NA,"All consumer groups","Mortality",NA,NA
101," 50000"," 50.0"," 12500"," -0.625","Flat","High","High","All consumer groups","Mortality and foraging",NA,NA
102," 50000","  2.5"," 12500"," -0.625","Medium flat","High","High","All consumer groups","Mortality and foraging",NA,NA
103," 50000","  1.0"," 12500"," -0.625","Medium steep","High","High","All consumer groups","Mortality and foraging",NA,NA
104," 50000","  0.5"," 12500"," -0.625","Steep","High","High","All consumer groups","Mortality and foraging",NA,NA
105," 50000"," 50.0"," 25000"," -1.250","Flat","High","Medium","All consumer groups","Mortality and foraging",NA,NA
106," 50000","  2.5"," 25000"," -1.250","Medium flat","High","Medium","All consumer groups","Mortality and foraging",NA,NA
107," 50000","  1.0"," 25000"," -1.250","Medium steep","High","Medium","All consumer groups","Mortality and foraging",NA,NA
